name,GTIN,price,stock_quantity
Max Factor Brow Revival Densifying Mascara 004 Grey,3614227914940,1.25,120
Max Factor Color Elixir Lip Liner 20 Plum Passion,3614227128491,1.25,511
Max Factor Facefinity Compact Foundation 010 Soft Sable,8005610545233,1.75,365
Max Factor Gel Shine Lacquer Nail Polish 35 Lacquered Violet,96091296,1.00,171
Max Factor Gel Shine Lacquer Nail Polish 40 Glazed Cobalt,96091272,0.75,1200
Max Factor Gel Shine Lacquer Nail Polish 50 Radiant Ruby,96091234,0.75,1177
Max Factor Gel Shine Lacquer Nail Polish 55 Sparkling Berry,96091258,1.00,697
Max Factor Gel Shine Lacquer Nail Polish 60 Sheen Merlot,96091265,1.00,293
Max Factor Glossfinity Nail Polish 185 Ruby Fruit,96038529,0.75,1200
Max Factor Rise & Shine Lift & Volume Mascara 001 Black,3614227905085,2.50,274
Maybelline Color Show 60 Seconds Nail Polish 150 Mauve Kiss,30096974,0.75,306
Maybelline Color Show 60 Seconds Nail Polish 328 Sidewalk Strut,30116290,0.60,420
Maybelline Color Show 60 Seconds Nail Polish 353 Red,30104877,0.75,144
Maybelline Color Show 60 Seconds Nail Polish 471 Dear Magenta,30140158,0.60,95
Maybelline Color Show 60 Seconds Nail Polish 473 Top Coat Tweedy,30140172,0.60,688
Maybelline Color Show 60 Seconds Nail Polish 498 Mars,30154483,0.50,287
Maybelline Color Show 60 Seconds Nail Polish 6 Bubblicious,30097186,0.75,563
Maybelline Color Show 60 Seconds Nail Polish 70 Ballerina,30097230,0.75,112
Maybelline Dr. Rescue Base Coat 01 Peel Off,30116221,0.75,150
Maybelline Fit Me Foundation Matte & Poreless 245 Classic Beige,3600531453404,2.25,894
Maybelline New Master Blush Color And Highlighting Kit Palette,3600531378653,1.50,747
Maybelline Super Stay 24hr Lipstick Colour 840 Merlot *unboxed*,,1.25,12
Maybelline Superstay Multi-Usage Creamy Matte Foundation Stick 003 True Ivory,30170728,2.00,55
Maybelline Superstay Multi-Usage Creamy Matte Foundation Stick 036 Warm Sun,30170773,2.00,35
Maybelline The Colossal Big Shot Waterproof Black Mascara,30143296,3.00,1060
NYX Hot Singles Eyeshadow 09 Harlequin,800897825737,1.00,33
NYX Hot Singles Eyeshadow 63 Rehab,800897826277,1.00,20
NYX Hot Singles Eyeshadow Refill 66 Spontaneous,800897845339,0.50,92
Rimmel Lasting Finish 25HR Skin Perfecting Foundation 300 Sand,3607342952775,2.75,106
Rimmel London Glitter Bomb Top Coat 022 Bling Thing,3607344577815,0.50,1200
Rimmel London Jelly Highlighter Illuminateur 020 Candy Queen,3614229160635,1.50,126
Rimmel London Lasting Finish 25HR Full Coverage Foundation 303 True Nude,3607345379104,3.00,408
Rimmel London Lasting Finish By Kate Lipstick 114,3614222192312,1.25,117
Rimmel London Lasting Finish Extreme Lipstick 800 Salty,3614228342612,1.35,87
Rimmel London Lasting Finish Matte Lipstick 114,3614222192312,1.25,164
Rimmel London Lasting Finish Matte Lipstick 117,3614222192343,1.25,71
Rimmel London Magnif Eyes Holographic Eyeshadow & Highlighter 024 Gilded Moon,3614224872649,1.00,397
Rimmel London Magnif'Eyes Eyeshadow Palette 006 Wow Edition,3614226342898 ,2.50,363
Rimmel London Stay Stain Lip Gloss 400 Obsession,3614226472205,1.25,124
Rimmel London Stay Stain Lip Gloss 800 Rad,3614226472274,1.00,580
Rimmel London Sweetie Crush Nail Polish 008 Sherbet Sweetheart,3607349839451,0.25,264
Rimmel London Sweetie Crush Nail Polish 010 Fizzy Applelicious,3607349839512,0.25,206
Rimmel London Sweetie Crush Nail Polish 012 Blueberry Whizz,3607349839536,0.50,327
Rimmel London Wake Me Up Foundation 400 Natural Beige,3607342360143,3.00,26
Rimmel Stay Matte Liquid Lip Colour 870 Damn Hot,3614225050824,0.75,396
Sally Hansen Complete Salon Manicure Nail Polish 5ml 660 Pat On The Black,3614224842376,0.30,62
Bourjois Healthy Mix Foundation 57.5 Golden Caramel,3614225451577,2.25,27
Bourjois Healthy Mix Foundation 58 Caramel,3614222986126,2.25,160
Bourjois Healthy Mix Foundation 59 Amber,3614225451584,2.00,577
Bourjois Healthy Mix Foundation 60 Dark Amber,3614225451591,1.90,74
